Datetime,TSP [ug/m3],PM10 [ug/m3],PM2.5 [ug/m3],PM1 [ug/m3],TC [1/l],Battery_voltage,Electrical_load,Switch,Fuel_level,Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,Vehicle_Speed,Engine_speed,Target_air_fuel_ratio,Estimated_catalyst_temperature,Engine_status,Status_bit,Current_gear_shift_position_(Current_gear),Cumulative_mileage,Clutch_torque,Trip_fuel_consumption,Average_fuel_consumption_rate,Pumping_and_rubbing_friction_torque_at_current_condition,RON_factor,altitude,latitude,longitude,satelites,bearing,angular_speed,Acceleration,Deceleration
2024-11-18 15:40:00,21.0,21.0,19.4,18.3,658880,13.25,1.0,32.0,38.431,35.5,3.5885,0.0,73.0,0.0,955.7916666666666,14.5,648.0,3.0,24.0,13.0,12426.015999999998,-15.625166666666667,55505.916666666664,0.3373333333333333,20.6145,0.08,1272.0,35.706217,51.267197,12.0,0.0,0.0,0.0,0.0
2024-11-18 15:40:06,23.1,23.1,20.8,18.9,682270,13.333333333333334,1.0,32.0,38.431,35.333333333333336,3.5031666666666665,0.0,73.0,0.0,953.125,14.5,648.0,3.0,24.0,13.0,12426.015999999998,-15.822833333333334,57523.619666666666,0.3345,20.645833333333332,0.08,1272.0,35.706219,51.267197,12.0,0.0,0.0,0.0,0.0
2024-11-18 15:40:12,23.9,23.7,19.0,18.3,664720,13.283333333333333,1.0,32.0,38.431,35.166666666666664,3.5221666666666667,0.0,73.0,0.0,951.25,14.5,648.5,3.0,24.0,13.0,12426.015999999998,-15.666833333333335,59528.64833333334,0.33,20.677333333333333,0.08,1272.0,35.706219,51.267204,12.0,90.0,0.2617993877991495,0.0,0.0
2024-11-18 15:40:18,24.2,24.2,20.7,19.0,669340,13.283333333333333,1.0,32.0,38.431,35.0,3.5873333333333335,0.0,73.0,0.0,959.6666666666666,14.5,650.5,3.0,24.0,13.0,12426.015999999998,-15.812333333333333,61541.187333333335,0.33899999999999997,20.62483333333333,0.08,1272.0,35.706219,51.267204,12.0,90.0,0.0,0.0,0.0
2024-11-18 15:40:24,24.0,24.0,20.6,18.7,671660,13.316666666666668,1.0,32.0,38.431,35.0,3.5080000000000005,0.0,72.5,0.0,942.625,14.5,651.0,3.0,24.0,13.0,12426.015999999998,-15.697833333333334,63548.593833333325,0.33549999999999996,20.666666666666668,0.08,1272.0,35.706219,51.267208000000004,12.0,90.0,0.0,0.0,0.0
2024-11-18 15:40:30,23.2,23.2,20.7,18.5,669690,13.266666666666666,1.0,32.0,38.431,35.0,3.5406666666666666,0.0,72.66666666666667,0.0,953.0,14.5,651.0,3.0,24.0,13.0,12426.015999999998,-15.666666666666666,65564.10133333334,0.33283333333333337,20.698,0.08,1272.0,35.706215,51.267212,12.0,180.0,0.2617993877991495,0.0,0.0
2024-11-18 15:40:36,27.0,26.4,21.2,18.7,673220,13.266666666666666,1.0,32.0,38.431,35.166666666666664,3.5376666666666665,0.0,72.66666666666667,0.0,953.4583333333334,14.5,651.0,3.0,24.0,13.0,12426.015999999998,-15.604333333333335,67565.3985,0.33216666666666667,20.67716666666667,0.08,1272.0,35.706215,51.26722,12.0,90.0,-0.2617993877991495,0.0,0.0
2024-11-18 15:40:42,24.5,24.5,20.8,18.7,677540,13.283333333333333,1.0,32.0,38.431,35.166666666666664,3.529166666666667,0.0,72.33333333333333,0.0,946.125,14.5,650.5,3.0,24.0,13.0,12426.015999999998,-15.646,69571.22916666667,0.33216666666666667,20.708666666666666,0.08,1272.0,35.706215,51.2672235,12.0,90.0,0.0,0.0,0.0
2024-11-18 15:40:48,22.6,22.6,20.3,19.1,691030,13.283333333333333,1.0,32.0,38.431,35.166666666666664,3.5385000000000004,0.0,73.0,0.0,950.375,14.5,651.0,3.0,24.0,13.0,12426.015999999998,-15.489666666666666,71575.74733333333,0.3348333333333333,20.656166666666667,0.08,1272.0,35.706215,51.267227,12.0,90.0,0.0,0.0,0.0
2024-11-18 15:40:54,24.7,24.7,20.6,18.7,669900,13.283333333333333,1.0,32.0,38.431,35.0,3.518166666666666,0.0,72.83333333333333,0.0,953.0416666666666,14.5,651.0,3.0,24.0,13.0,12426.015999999998,-15.625,73581.6955,0.33349999999999996,20.68766666666667,0.08,1272.0,35.706215,51.267235,12.0,90.0,0.0,0.0,0.0
